Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
154 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   8  ,   5  ,   0  ,   0  ,   1  ,   0  ,   0  , 
155 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  , 
156 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   7  ,   3  ,   1  ,   0  ,   0  ,   0  ,   0  , 
157 ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   1  ,   0  ,   5  ,   5  ,   2  ,   0  ,   1  ,   1  ,   0  , 
158 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   8  ,   0  ,   1  ,   0  ,   5  ,   0  ,   0  , 
159 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  , 
160 ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   2  ,   0  ,   3  ,   7  ,   1  ,   0  ,   1  ,   0  ,   0  , 
161 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   1  ,   4  ,   1  ,   0  ,   0  ,   0  ,   0  , 
162 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   6  ,   1  ,   2  ,   0  ,   0  ,   3  , 
163 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   7  ,   2  ,   3  ,   0  ,   0  ,   0  ,   0  , 
164 ,   1  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   4  ,   3  ,   2  ,   0  ,   0  ,   0  ,   2  , 
165 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   4  ,   0  ,   0  ,   0  ,   0  ,   2  , 
166 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   3  ,   1  ,   0  ,   1  ,   0  ,   0  , 
167 ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   2  ,   0  ,   0  ,   2  ,   0  ,   1  , 
168 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   2  ,   2  ,   3  ,   1  ,   0  ,   0  ,   0  , 
